city,Tier
Bhilai,Tier2
Raipur,Tier2
Jaipur,Tier2
Navi Mumbai,Tier3
Pune,Tier1
Chennai,Tier1
Delhi,Tier1
Nagpur,Tier2
Rajamahendravaram,Tier3
Hapur,Tier3
Gummidipoondi,Tier3
Varanasi,Tier2
Bahadurgarh,Tier3
Asansol,Tier2
Udaipur,Tier3
Haveri,Tier3
Lucknow,Tier2
Hassan,Tier3
Bengaluru,Tier1
Kolkata,Tier1
Baran,Tier3
Satna,Tier3
Mumbai,Tier1
Agartala,Tier3
Tensa,Tier3
Nalbari,Tier3
Howrah,Tier3
Palkalaiperur,Tier3
Mira-Bhayandar,Tier3
Dungarpur,Tier3
Dewas,Tier3
Virar,Tier3
Hyderabad,Tier1
Ooty,Tier3
Udupi,Tier3
Muzaffarpur,Tier3
Moradabad,Tier2
Belapur,Tier3
Cuttack,Tier2
Byrnihat,Tier3
Ramanathapuram,Tier3
Ahmedabad,Tier1
Chandrapur,Tier3
Indore,Tier2
Chikkaballapur,Tier3
Siwan,Tier3
Nagaon,Tier3
Gwalior,Tier2
Jalandhar,Tier2
Ajmer,Tier2
Bareilly,Tier2
Sagar,Tier3
Yadgir,Tier3
Virudhunagar,Tier3
Gaya,Tier3
Jodhpur,Tier2
Thrissur,Tier2
Chengalpattu,Tier3
Bihar Sharif,Tier3
Imphal,Tier3
Bhagalpur,Tier3
Samastipur,Tier3
Begusarai,Tier3
Patna,Tier2
Nayagarh,Tier3
Sasaram,Tier3
Rajgir,Tier3
Chhapra,Tier3
Dhule,Tier3
Hubballi,Tier2
Davanagere,Tier3
Kota,Tier2
Rajsamand,Tier3
Rairangpur,Tier3
Koppal,Tier3
Solapur,Tier2
Dehradun,Tier2
Sirsa,Tier3
Kanpur,Tier2
Byasanagar,Tier3
Rourkela,Tier2
Barbil,Tier3
Manguraha,Tier3
Ankleshwar,Tier3
Nandesari,Tier3
Gandhinagar,Tier3
Brajrajnagar,Tier3
Visakhapatnam,Tier2
Motihari,Tier3
Meerut,Tier2
Nashik,Tier2
Chittoor,Tier3
Pimpri-Chinchwad,Tier2
Mandikhera,Tier3
Sivasagar,Tier3
Yamuna Nagar,Tier3
Bhiwandi,Tier2
Amritsar,Tier2
Katni,Tier3
Jabalpur,Tier2
Kashipur,Tier2
Milupara,Tier3
Anantapur,Tier3
Aurangabad,Tier2
Bhiwani,Tier3
Vijayawada,Tier2
Baddi,Tier3
Raichur,Tier2
Angul,Tier3
Bathinda,Tier3
Mysuru,Tier2
Hanumangarh,Tier3
Fatehabad,Tier3
Guwahati,Tier2
Vijayapura,Tier2
Bhopal,Tier2
Pali,Tier3
Ghaziabad,Tier2
Jhunjhunu,Tier3
Hajipur,Tier3
Shillong,Tier3
Keonjhar,Tier3
Puducherry,Tier2
Prayagraj,Tier2
Karwar,Tier3
Ernakulam,Tier3
Mangalore,Tier2
Dharwad,Tier2
Dhanbad,Tier2
Khanna,Tier3
Balasore,Tier3
Khurja,Tier3
Chikkamagaluru,Tier3
Bettiah,Tier3
Mahad,Tier3
Thiruvananthapuram,Tier2
Nagaur,Tier3
Thane,Tier3
Badlapur,Tier3
Ariyalur,Tier3
Kalyan,Tier3
Boisar,Tier3
Araria,Tier3
Dausa,Tier3
Kanchipuram,Tier3
Greater Noida,Tier3
Bharatpur,Tier3
Cuddalore,Tier3
Tirupur,Tier3
Kalaburagi,Tier2
Bhubaneswar,Tier2
Rohtak,Tier3
Aurangabad,Tier2
Bikaner,Tier2
Gorakhpur,Tier2
Ujjain,Tier2
Malegaon,Tier3
Bilaspur,Tier2
Agra,Tier2
Purnia,Tier3
Parbhani,Tier3
Thoothukudi,Tier3
Baripada,Tier3
Dindigul,Tier3
Charkhi Dadri,Tier3
Katihar,Tier3
Patiala,Tier3
Pathardih,Tier3
Alwar,Tier3
Jalore,Tier3
Dharuhera,Tier3
Sonipat,Tier3
Gurugram,Tier2
Firozabad,Tier3
Naharlagun,Tier3
Ballabgarh,Tier3
Bidar,Tier3
Chhal,Tier3
Baghpat,Tier3
Bundi,Tier3
Arrah,Tier3
Faridabad,Tier2
Muzaffarnagar,Tier3
Suakati,Tier3
Tumidih,Tier3
Kunjemura,Tier3
Sri Ganganagar,Tier3
Jalna,Tier3
Vrindavan,Tier3
Coimbatore,Tier2
Kohima,Tier3
Kozhikode,Tier2
Gadag,Tier3
Ambala,Tier3
Vapi,Tier3
Vatva,Tier3
Kollam,Tier2
Saharsa,Tier3
Jind,Tier3
Jalgaon,Tier2
Pratapgarh,Tier3
Bhilwara,Tier3
Haldia,Tier3
Ludhiana,Tier2
Bhiwadi,Tier3
Mandi Gobindgarh,Tier3
Sikar,Tier3
Barmer,Tier3
Dholpur,Tier3
Srinagar,Tier2
Jhalawar,Tier3
Akola,Tier3
Korba,Tier3
Belgaum,Tier2
Rupnagar,Tier3
Banswara,Tier3
Kaithal,Tier3
Kishanganj,Tier3
Hosur,Tier3
Barrackpore,Tier3
Jaisalmer,Tier3
Maihar,Tier3
Sawai Madhopur,Tier3
Karauli,Tier3
Latur,Tier3
Surat,Tier2
Amaravati,Tier3
Noida,Tier2
Chandigarh,Tier2
Karnal,Tier2
Panipat,Tier3
Manesar,Tier3
Pithampur,Tier3
Panchkula,Tier3
Kurukshetra,Tier3
Mandideep,Tier3
Ratlam,Tier2
Chittorgarh,Tier3
Narnaul,Tier3
Tonk,Tier3
Jhansi,Tier2
Rishikesh,Tier3
Kolhapur,Tier2
Amravati,Tier2
Damoh,Tier3
Palwal,Tier3
Ulhasnagar,Tier3
Durgapur,Tier2
Aizawl,Tier3
Nanded,Tier2
Salem,Tier2
Tiruchirappalli,Tier2
Madikeri,Tier3
Churu,Tier3
Singrauli,Tier3
Talcher,Tier3
Kolar,Tier3
Ahmednagar,Tier3
Silchar,Tier3
Jorapokhar,Tier3
Bileipada,Tier3
Kannur,Tier2
Tumakuru,Tier3
Tirupati,Tier3
Darbhanga,Tier3
Munger,Tier3
Eloor,Tier3
Hisar,Tier3
Chamarajanagar,Tier3
Vellore,Tier2
Sirohi,Tier3
Bagalkot,Tier3
Ramanagara,Tier3
Sangli,Tier2
Shivamogga,Tier3
Kochi,Tier2
Siliguri,Tier2
Bulandshahr,Tier3
Kadapa,Tier3
Gangtok,Tier3
Buxar,Tier3
Karur,Tier3
Tirunelveli,Tier2
Thanjavur,Tier2
Perundurai,Tier3
Pudukottai,Tier3
Madurai,Tier2
Ranipet,Tier3
Nagapattinam,Tier3
